Date,Fear Greed
2025-03-24,25.4
2025-03-25,29.3
2025-03-26,28.9
2025-03-27,28.3
2025-03-28,26.4
2025-03-31,21.1
2025-04-01,19.6
2025-04-02,22.6
2025-04-03,12.1
2025-04-04,5.4
2025-04-07,4.0
2025-04-08,2.9
2025-04-09,9.5
2025-04-10,5.6
2025-04-11,8.4
2025-04-14,12.3
2025-04-15,13.1
2025-04-16,11.1
2025-04-17,16.1
2025-04-21,12.4
2025-04-22,13.6
2025-04-23,21.5
2025-04-24,24.1
2025-04-25,34.5
2025-04-28,32.1
2025-04-29,32.7
2025-04-30,32.4
2025-05-01,41.3
2025-05-02,38.3
2025-05-05,53.1
2025-05-06,54.7
2025-05-07,54.1
2025-05-08,57.7
2025-05-09,60.0
2025-05-12,64.5
2025-05-13,68.2
2025-05-14,70.4
2025-05-15,69.1
2025-05-16,70.6
2025-05-19,69.7
2025-05-20,69.2
2025-05-21,66.2
2025-05-22,66.8
2025-05-23,64.1
2025-05-27,65.7
2025-05-28,64.7
2025-05-29,64.5
2025-05-30,61.9
2025-06-02,62.4
2025-06-03,54.6
2025-06-04,54.9
2025-06-05,58.0
2025-06-06,61.8
2025-06-09,63.4
2025-06-10,64.0
2025-06-11,64.2
2025-06-12,64.6
2025-06-13,59.5
2025-06-16,61.1
2025-06-17,57.4
2025-06-18,54.3
2025-06-20,54.5
2025-06-23,56.6
2025-06-24,57.9
2025-06-25,59.3
2025-06-26,63.0
2025-06-27,64.8
2025-06-30,69.2
2025-07-01,67.5
2025-07-02,63.7
2025-07-03,77.6
2025-07-07,75.1
2025-07-08,74.6
2025-07-09,75.9
2025-07-10,77.0
2025-07-11,75.3
2025-07-14,76.1
2025-07-15,73.5
2025-07-16,72.9
2025-07-17,74.2
2025-07-18,73.9
2025-07-21,73.3
2025-07-22,73.9
2025-07-23,76.4
2025-07-24,75.3
2025-07-25,74.7
2025-07-28,73.8
2025-07-29,70.6
2025-07-30,68.0
2025-07-31,63.7
2025-08-01,49.8
2025-08-04,56.9
2025-08-05,55.0
2025-08-06,55.3
2025-08-07,54.7
2025-08-08,58.4
2025-08-11,57.6
2025-08-12,62.3
2025-08-13,63.3
2025-08-14,63.3
2025-08-15,63.5
2025-08-18,64.2
2025-08-19,59.9
2025-08-20,55.9
2025-08-21,52.6
2025-08-22,55.5
2025-08-25,53.9
2025-08-26,55.4
2025-08-27,59.1
2025-08-28,64.4
2025-08-29,61.5
2025-09-02,62.5
2025-09-03,61.4
2025-09-04,61.2
2025-09-05,58.7
2025-09-08,58.2
2025-09-09,57.9
2025-09-10,57.9
2025-09-11,60.3
2025-09-12,61.3
2025-09-15,64.5
2025-09-16,64.4
2025-09-17,63.8
2025-09-18,66.5
2025-09-19,66.2
2025-09-22,66.5
2025-09-23,56.8
2025-09-24,54.6
2025-09-25,50.7
2025-09-26,51.3
2025-09-29,51.0
2025-09-30,51.4
2025-10-01,52.5
2025-10-02,54.5
2025-10-03,52.6
2025-10-06,54.0
2025-10-07,51.9
2025-10-08,52.9
2025-10-09,48.6
2025-10-10,30.1
2025-10-13,29.7
2025-10-14,28.3
2025-10-15,27.4
2025-10-16,23.1
2025-10-17,22.3
2025-10-20,29.9
2025-10-21,28.5
2025-10-22,26.4
2025-10-23,27.6
2025-10-24,32.5
2025-10-27,37.3
2025-10-28,39.3
2025-10-29,42.1
2025-10-30,37.1
2025-10-31,34.5
2025-11-03,32.6
2025-11-04,20.9
2025-11-05,23.1
2025-11-06,24.3
2025-11-07,20.4
2025-11-10,29.9
2025-11-11,30.5
2025-11-12,34.6
2025-11-13,24.5
2025-11-14,22.1
2025-11-17,11.6
2025-11-18,8.9
2025-11-19,7.9
2025-11-20,5.2
2025-11-21,5.7
2025-11-24,13.7
2025-11-25,15.0
2025-11-26,17.7
2025-11-28,21.8
2025-12-01,22.1
2025-12-02,23.3
2025-12-03,24.8
2025-12-04,36.0
2025-12-05,38.1
2025-12-08,40.8
2025-12-09,40.9
2025-12-10,36.4
2025-12-11,43.7
2025-12-12,39.3
2025-12-15,49.3
2025-12-16,46.4
2025-12-17,37.7
2025-12-18,42.4
2025-12-19,44.2
2025-12-22,54.9
2025-12-23,58.6
2025-12-24,58.0
2025-12-26,54.9
2025-12-29,47.9
2025-12-30,46.1
2025-12-31,43.3
2026-01-02,45.2
2026-01-05,47.6
2026-01-06,52.9
2026-01-07,48.6
2026-01-08,48.4
2026-01-09,54.1
2026-01-12,58.0
2026-01-13,59.1
2026-01-14,58.6
2026-01-15,63.7
2026-01-16,63.8
2026-01-20,50.9
2026-01-21,53.9
2026-01-22,54.8
2026-01-23,54.9
2026-01-26,57.7
2026-01-27,65.0
2026-01-28,65.5
2026-01-29,63.8
2026-01-30,58.6
2026-02-02,63.4
2026-02-03,43.3
2026-02-04,47.2
2026-02-06,46.8
2026-02-09,51.6
2026-02-10,51.7
2026-02-11,53.8
2026-02-12,38.1
2026-02-13,37.8
2026-02-17,40.9
2026-02-18,41.9
2026-02-19,39.6
2026-02-20,44.4
2026-02-23,37.0
2026-02-24,43.3
2026-02-25,45.8
2026-02-26,42.2
2026-02-27,38.0
2026-03-02,33.6
2026-03-03,33.2
2026-03-04,37.2
2026-03-05,28.3
2026-03-06,25.1
2026-03-09,27.7
2026-03-10,26.1
2026-03-11,25.1
2026-03-12,22.5
2026-03-13,22.6
2026-03-16,21.6
2026-03-17,21.7
2026-03-18,15.4
2026-03-19,17.3
2026-03-20,16.5
2026-03-23,17.3
